seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag
23;0.467128;-1;0.524471;13;93.2026;0.00535878;0
23;3.44277;-1;0.168085;14;686.91;0.00171741;0
23;1.41271;-1;0.0720074;15;281.868;0.000735736;1
23;0.751163;-1;0.257504;16;149.874;0.00263105;0
23;2.53706;-1;0.0923464;17;506.201;0.00094355;0
23;0.597583;-1;0.466958;18;119.231;0.00477114;0
23;1.52605;-1;0.0812967;19;304.481;0.00083065;0
23;1;1;1;0;199.523;0.0102175;0
23;2.01052;2;0.122725;4;401.144;0.00125394;0
23;2.93859;3;0.276327;5;586.315;0.00282337;0
23;3.94139;4;0.151677;1;786.397;0.00154976;0
24;0.0748628;-13;0.108801;7;14.9641;0.00114457;0
24;1.77804;-1;0.103121;2;355.407;0.00108482;0
24;1.206;-1;0.150568;3;241.065;0.00158395;0
24;4.42746;-1;0.0860759;6;884.992;0.000905504;0
24;1.90714;-1;0.107985;8;381.212;0.00113598;0
24;0.796641;-1;0.265692;9;159.238;0.00279503;0
24;0.184269;-1;0.111967;10;36.833;0.00117787;0
24;2.45527;-1;0.128224;11;490.777;0.00134889;0
24;1.64902;-1;0.107739;12;329.617;0.00113339;0
24;0.472843;-1;0.49704;13;94.5151;0.00522878;0
24;3.43583;-1;0.173276;14;686.777;0.00182283;0
24;0.371506;-1;0.285162;15;74.2593;0.00299986;1
24;0.75234;-1;0.273993;16;150.383;0.00288236;0
24;2.53809;-1;0.100191;17;507.331;0.00105399;0
24;0.596712;-1;0.489243;18;119.275;0.00514676;0
24;1.52748;-1;0.0844217;19;305.323;0.000888102;0
24;1;1;1;0;199.887;0.0105198;0
24;2.01154;2;0.135877;4;402.08;0.00142941;0
24;2.93229;3;0.280362;5;586.127;0.00294936;0
24;3.93456;4;0.15246;1;786.467;0.00160386;0
25;1.77808;-1;0.105174;2;356.128;0.00112294;0
25;1.21252;-1;0.138467;3;242.853;0.0014784;0
25;4.42041;-1;0.088114;6;885.355;0.00094079;0
25;0.0805335;-1;0.105637;7;16.1299;0.00112788;0
25;1.90108;-1;0.110483;8;380.764;0.00117962;0
25;0.795948;-1;0.300491;9;159.419;0.00320833;0
25;0.189002;-1;0.119022;10;37.8547;0.00127079;0
25;2.42804;-1;0.126582;11;486.308;0.00135151;0
25;1.64264;-1;0.112806;12;329.001;0.00120442;0
25;0.472885;-1;0.514142;13;94.7131;0.00548948;0
25;3.42774;-1;0.179615;14;686.535;0.00191775;0
25;0.364439;-1;0.279858;15;72.9928;0.00298804;0
25;0.756726;-1;0.30411;16;151.563;0.00324697;0
25;2.52108;-1;0.126377;17;504.941;0.00134933;0
25;0.595501;-1;0.519182;18;119.272;0.00554329;0
25;1.52512;-1;0.0909611;19;305.462;0.000971189;0
25;1;1;1;0;200.288;0.010677;0
25;2.00578;2;0.135811;4;401.733;0.00145005;0
25;2.92566;3;0.285272;5;585.973;0.00304584;0
25;3.92696;4;0.154636;1;786.522;0.00165104;0
26;0.0830204;-12;0.103113;7;16.6661;0.00110786;0
26;0.197428;-5;0.119754;10;39.6331;0.00128666;0
26;1.76009;-1;0.104471;2;353.334;0.00112246;0
26;1.21697;-1;0.135738;3;244.304;0.00145839;0
26;4.41196;-1;0.0900606;6;885.689;0.000967623;0
26;1.8965;-1;0.113123;8;380.717;0.00121541;0
26;0.790104;-1;0.217945;9;158.611;0.00234163;0
26;2.41021;-1;0.116354;11;483.843;0.00125012;0
26;1.64151;-1;0.121341;12;329.529;0.0013037;0
26;0.474948;-1;0.522719;13;95.3446;0.00561616;0
26;3.41914;-1;0.186157;14;686.384;0.0020001;0
26;0.379353;-1;0.296334;15;76.1541;0.00318385;0
26;2.59358;-1;0.0706386;16;520.654;0.000758951;1
26;2.51364;-1;0.148587;17;504.607;0.00159644;0
26;0.596064;-1;0.558966;18;119.658;0.00600561;0
26;1.51962;-1;0.0974866;19;305.06;0.00104741;0
26;1;1;1;0;200.747;0.0107441;0
26;2.00428;2;0.141986;4;402.354;0.00152552;0
26;2.91826;3;0.28927;5;585.833;0.00310795;0
26;3.91777;4;0.157296;1;786.482;0.00169002;0
27;2.12433;-1;1.79243;0;202.936;0.0105902;0
27;3.69693;-1;0.195762;2;353.166;0.00115662;0
27;2.56714;-1;0.217281;3;245.237;0.00128376;0
27;4.22041;-1;0.271953;4;403.173;0.00160678;0
27;9.27486;-1;0.166613;6;886.022;0.000984404;0
27;0.184089;-1;0.177325;7;17.586;0.00104769;0
27;1.65321;-1;0.449572;9;157.931;0.00265621;0
27;0.427942;-1;0.24789;10;40.8811;0.00146461;0
27;3.44675;-1;0.23807;12;329.266;0.00140659;0
27;0.785047;-1;0.521603;15;74.9951;0.00308179;0
27;5.45673;-1;0.137731;16;521.279;0.000813759;0
27;5.28047;-1;0.284383;17;504.44;0.00168023;0
27;1.24933;-1;1.10799;18;119.348;0.00654638;0
27;3.19695;-1;0.191304;19;305.403;0.00113029;0
27;1;1;1;13;95.5294;0.00590831;0
27;3.98253;4;0.214707;8;380.449;0.00126855;0
27;5.05282;5;0.214527;11;482.693;0.0012675;0
27;6.12958;6;0.531872;5;585.555;0.00314246;0
27;7.18427;7;0.349413;14;686.309;0.00206444;0
27;8.23339;8;0.291212;1;786.531;0.00172057;0
28;8.25579;-1;1.00778;12;326.487;0.00235174;0
28;2.42703;-1;2.6197;13;95.9801;0.0061133;0
28;1.86196;-1;1.28046;15;73.6339;0.00298808;0
28;0.792036;-1;0.442044;16;31.3222;0.00103155;1
28;7.23404;-1;0.335056;19;286.08;0.000781884;0
28;1;1;1;10;39.5464;0.00233359;0
28;3.00839;3;3.04872;18;118.971;0.00711448;0
28;4.03429;4;1.08723;9;159.542;0.00253716;0
28;5.13769;5;4.56228;0;203.177;0.0106465;0
28;6.17355;6;0.500576;3;244.142;0.00116814;0
28;8.13199;8;1.07791;7;321.591;0.0025154;1
28;8.93316;9;0.516222;2;353.274;0.00120465;0
28;10.1757;10;0.757151;4;402.413;0.00176688;0
28;9.77886;10;0.136822;8;386.719;0.000319287;0
28;12.2802;12;0.580497;11;485.638;0.00135464;0
28;12.7889;13;0.716726;17;505.756;0.00167255;0
28;14.7888;15;1.35798;5;584.843;0.00316896;0
28;17.352;17;0.907208;14;686.209;0.00211705;0
28;19.8816;20;0.74214;1;786.246;0.00173185;0
28;22.4316;22;0.433421;6;887.091;0.00101143;0
